0.7031 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
16.7852 	EXP 	stimulus_text: height = 0.15
16.7852 	EXP 	stimulus_text: text = 'head'
16.7852 	EXP 	stimulus_text: autoDraw = True
16.8699 	DATA 	Mouse:  Left button up, pos=(773,632)
16.9531 	DATA 	Mouse: Left button down, pos=(773,632)
16.9547 	EXP 	New trial (rep=0, index=2): OrderedDict([('conditions', 'left hand')])
16.9690 	EXP 	stimulus_text: autoDraw = False
16.9690 	EXP 	stimulus_text: height = 0.15
16.9690 	EXP 	stimulus_text: height = 0.15
16.9690 	EXP 	stimulus_text: height = 0.15
16.9690 	EXP 	stimulus_text: text = 'left hand'
16.9690 	EXP 	stimulus_text: autoDraw = True
17.0528 	DATA 	Mouse:  Left button up, pos=(773,632)
17.1026 	DATA 	Mouse: Left button down, pos=(773,632)
17.1044 	EXP 	New trial (rep=0, index=3): OrderedDict([('conditions', 'right hand')])
17.1188 	EXP 	stimulus_text: autoDraw = False
17.1188 	EXP 	stimulus_text: height = 0.15
17.1188 	EXP 	stimulus_text: height = 0.15
17.1188 	EXP 	stimulus_text: height = 0.15
17.1188 	EXP 	stimulus_text: text = 'right hand'
17.1188 	EXP 	stimulus_text: autoDraw = True
17.1693 	DATA 	Mouse:  Left button up, pos=(773,632)
17.2535 	DATA 	Mouse: Left button down, pos=(773,632)
17.2710 	EXP 	New trial (rep=0, index=4): OrderedDict([('conditions', 'feet')])
17.2864 	EXP 	stimulus_text: autoDraw = False
17.2864 	EXP 	stimulus_text: height = 0.15
17.2864 	EXP 	stimulus_text: height = 0.15
17.2864 	EXP 	stimulus_text: height = 0.15
17.2864 	EXP 	stimulus_text: text = 'feet'
17.2864 	EXP 	stimulus_text: autoDraw = True
17.3363 	DATA 	Mouse:  Left button up, pos=(773,632)
17.3859 	DATA 	Mouse: Left button down, pos=(773,632)
17.3876 	EXP 	New trial (rep=1, index=0): OrderedDict([('conditions', 'feet')])
17.4028 	EXP 	stimulus_text: autoDraw = False
17.4028 	EXP 	stimulus_text: text = 'feet'
17.4028 	EXP 	stimulus_text: autoDraw = True
17.4528 	DATA 	Mouse:  Left button up, pos=(773,632)
17.5195 	DATA 	Mouse: Left button down, pos=(773,632)
17.5213 	EXP 	New trial (rep=1, index=1): OrderedDict([('conditions', 'left hand')])
17.5357 	EXP 	stimulus_text: autoDraw = False
17.5357 	EXP 	stimulus_text: height = 0.15
17.5357 	EXP 	stimulus_text: height = 0.15
17.5357 	EXP 	stimulus_text: height = 0.15
17.5357 	EXP 	stimulus_text: text = 'left hand'
17.5357 	EXP 	stimulus_text: autoDraw = True
17.5862 	DATA 	Mouse:  Left button up, pos=(773,632)
17.6527 	DATA 	Mouse: Left button down, pos=(773,632)
17.6544 	EXP 	New trial (rep=1, index=2): OrderedDict([('conditions', 'right hand')])
17.6691 	EXP 	stimulus_text: autoDraw = False
17.6691 	EXP 	stimulus_text: height = 0.15
17.6691 	EXP 	stimulus_text: height = 0.15
17.6691 	EXP 	stimulus_text: height = 0.15
17.6691 	EXP 	stimulus_text: text = 'right hand'
17.6691 	EXP 	stimulus_text: autoDraw = True
17.7361 	DATA 	Mouse:  Left button up, pos=(773,632)
17.8027 	DATA 	Mouse: Left button down, pos=(773,632)
17.8047 	EXP 	New trial (rep=1, index=3): OrderedDict([('conditions', 'eyes')])
17.8190 	EXP 	stimulus_text: autoDraw = False
17.8190 	EXP 	stimulus_text: height = 0.15
17.8190 	EXP 	stimulus_text: height = 0.15
17.8190 	EXP 	stimulus_text: height = 0.15
17.8190 	EXP 	stimulus_text: text = 'eyes'
17.8190 	EXP 	stimulus_text: autoDraw = True
17.8863 	DATA 	Mouse:  Left button up, pos=(773,632)
17.9363 	DATA 	Mouse: Left button down, pos=(773,632)
17.9383 	EXP 	New trial (rep=1, index=4): OrderedDict([('conditions', 'head')])
17.9524 	EXP 	stimulus_text: autoDraw = False
17.9524 	EXP 	stimulus_text: height = 0.15
17.9524 	EXP 	stimulus_text: height = 0.15
17.9524 	EXP 	stimulus_text: height = 0.15
17.9524 	EXP 	stimulus_text: text = 'head'
17.9524 	EXP 	stimulus_text: autoDraw = True
18.0193 	DATA 	Mouse:  Left button up, pos=(773,632)
18.0860 	DATA 	Mouse: Left button down, pos=(773,632)
18.0880 	EXP 	New trial (rep=2, index=0): OrderedDict([('conditions', 'head')])
18.1021 	EXP 	stimulus_text: autoDraw = False
18.1021 	EXP 	stimulus_text: text = 'head'
18.1021 	EXP 	stimulus_text: autoDraw = True
18.1694 	DATA 	Mouse:  Left button up, pos=(773,632)
18.2195 	DATA 	Mouse: Left button down, pos=(773,632)
18.2215 	EXP 	New trial (rep=2, index=1): OrderedDict([('conditions', 'feet')])
18.2356 	EXP 	stimulus_text: autoDraw = False
18.2356 	EXP 	stimulus_text: height = 0.15
18.2356 	EXP 	stimulus_text: height = 0.15
18.2356 	EXP 	stimulus_text: height = 0.15
18.2356 	EXP 	stimulus_text: text = 'feet'
18.2356 	EXP 	stimulus_text: autoDraw = True
18.3029 	DATA 	Mouse:  Left button up, pos=(773,632)
18.3526 	DATA 	Mouse: Left button down, pos=(773,632)
18.3545 	EXP 	New trial (rep=2, index=2): OrderedDict([('conditions', 'eyes')])
18.3694 	EXP 	stimulus_text: autoDraw = False
18.3694 	EXP 	stimulus_text: height = 0.15
18.3694 	EXP 	stimulus_text: height = 0.15
18.3694 	EXP 	stimulus_text: height = 0.15
18.3694 	EXP 	stimulus_text: text = 'eyes'
18.3694 	EXP 	stimulus_text: autoDraw = True
18.4361 	DATA 	Mouse:  Left button up, pos=(773,632)
18.5027 	DATA 	Mouse: Left button down, pos=(773,632)
18.5048 	EXP 	New trial (rep=2, index=3): OrderedDict([('conditions', 'right hand')])
18.5192 	EXP 	stimulus_text: autoDraw = False
18.5192 	EXP 	stimulus_text: height = 0.15
18.5192 	EXP 	stimulus_text: height = 0.15
18.5192 	EXP 	stimulus_text: height = 0.15
18.5192 	EXP 	stimulus_text: text = 'right hand'
18.5192 	EXP 	stimulus_text: autoDraw = True
18.7365 	DATA 	Mouse:  Left button up, pos=(773,632)
18.8028 	DATA 	Mouse: Left button down, pos=(773,632)
18.8045 	EXP 	New trial (rep=2, index=4): OrderedDict([('conditions', 'left hand')])
18.8192 	EXP 	stimulus_text: autoDraw = False
18.8192 	EXP 	stimulus_text: height = 0.15
18.8192 	EXP 	stimulus_text: height = 0.15
18.8192 	EXP 	stimulus_text: height = 0.15
18.8192 	EXP 	stimulus_text: text = 'left hand'
18.8192 	EXP 	stimulus_text: autoDraw = True
18.8865 	DATA 	Mouse:  Left button up, pos=(773,632)
18.9539 	DATA 	Mouse: Left button down, pos=(773,632)
18.9555 	EXP 	New trial (rep=3, index=0): OrderedDict([('conditions', 'feet')])
18.9701 	EXP 	stimulus_text: autoDraw = False
18.9701 	EXP 	stimulus_text: height = 0.15
18.9701 	EXP 	stimulus_text: height = 0.15
18.9701 	EXP 	stimulus_text: height = 0.15
18.9701 	EXP 	stimulus_text: text = 'feet'
18.9701 	EXP 	stimulus_text: autoDraw = True
19.0531 	DATA 	Mouse:  Left button up, pos=(773,632)
19.1034 	DATA 	Mouse: Left button down, pos=(773,632)
19.1052 	EXP 	New trial (rep=3, index=1): OrderedDict([('conditions', 'right hand')])
19.1195 	EXP 	stimulus_text: autoDraw = False
19.1195 	EXP 	stimulus_text: height = 0.15
19.1195 	EXP 	stimulus_text: height = 0.15
19.1195 	EXP 	stimulus_text: height = 0.15
19.1195 	EXP 	stimulus_text: text = 'right hand'
19.1195 	EXP 	stimulus_text: autoDraw = True
19.3201 	DATA 	Mouse:  Left button up, pos=(773,632)
19.4036 	DATA 	Mouse: Left button down, pos=(773,632)
19.4054 	EXP 	New trial (rep=3, index=2): OrderedDict([('conditions', 'head')])
19.4202 	EXP 	stimulus_text: autoDraw = False
19.4202 	EXP 	stimulus_text: height = 0.15
19.4202 	EXP 	stimulus_text: height = 0.15
19.4202 	EXP 	stimulus_text: height = 0.15
19.4202 	EXP 	stimulus_text: text = 'head'
19.4202 	EXP 	stimulus_text: autoDraw = True
19.4869 	DATA 	Mouse:  Left button up, pos=(773,632)
19.5705 	DATA 	Mouse: Left button down, pos=(773,632)
19.5723 	EXP 	New trial (rep=3, index=3): OrderedDict([('conditions', 'left hand')])
19.5863 	EXP 	stimulus_text: autoDraw = False
19.5863 	EXP 	stimulus_text: height = 0.15
19.5863 	EXP 	stimulus_text: height = 0.15
19.5863 	EXP 	stimulus_text: height = 0.15
19.5863 	EXP 	stimulus_text: text = 'left hand'
19.5863 	EXP 	stimulus_text: autoDraw = True
19.6533 	DATA 	Mouse:  Left button up, pos=(773,632)
19.8700 	DATA 	Mouse: Left button down, pos=(773,632)
19.8720 	EXP 	New trial (rep=3, index=4): OrderedDict([('conditions', 'eyes')])
19.8864 	EXP 	stimulus_text: autoDraw = False
19.8864 	EXP 	stimulus_text: height = 0.15
19.8864 	EXP 	stimulus_text: height = 0.15
19.8864 	EXP 	stimulus_text: height = 0.15
19.8864 	EXP 	stimulus_text: text = 'eyes'
19.8864 	EXP 	stimulus_text: autoDraw = True
19.9540 	DATA 	Mouse:  Left button up, pos=(773,632)
20.0373 	DATA 	Mouse: Left button down, pos=(773,632)
20.0392 	EXP 	New trial (rep=4, index=0): OrderedDict([('conditions', 'left hand')])
20.0530 	EXP 	stimulus_text: autoDraw = False
20.0530 	EXP 	stimulus_text: height = 0.15
20.0530 	EXP 	stimulus_text: height = 0.15
20.0530 	EXP 	stimulus_text: height = 0.15
20.0530 	EXP 	stimulus_text: text = 'left hand'
20.0530 	EXP 	stimulus_text: autoDraw = True
20.1364 	DATA 	Mouse:  Left button up, pos=(773,632)
20.1865 	DATA 	Mouse: Left button down, pos=(773,632)
20.1880 	EXP 	New trial (rep=4, index=1): OrderedDict([('conditions', 'eyes')])
20.2032 	EXP 	stimulus_text: autoDraw = False
20.2032 	EXP 	stimulus_text: height = 0.15
20.2032 	EXP 	stimulus_text: height = 0.15
20.2032 	EXP 	stimulus_text: height = 0.15
20.2032 	EXP 	stimulus_text: text = 'eyes'
20.2032 	EXP 	stimulus_text: autoDraw = True
20.2702 	DATA 	Mouse:  Left button up, pos=(773,632)
20.3369 	DATA 	Mouse: Left button down, pos=(773,632)
20.3385 	EXP 	New trial (rep=4, index=2): OrderedDict([('conditions', 'right hand')])
20.3533 	EXP 	stimulus_text: autoDraw = False
20.3533 	EXP 	stimulus_text: height = 0.15
20.3533 	EXP 	stimulus_text: height = 0.15
20.3533 	EXP 	stimulus_text: height = 0.15
20.3533 	EXP 	stimulus_text: text = 'right hand'
20.3533 	EXP 	stimulus_text: autoDraw = True
20.4202 	DATA 	Mouse:  Left button up, pos=(773,632)
20.4871 	DATA 	Mouse: Left button down, pos=(773,632)
20.4889 	EXP 	New trial (rep=4, index=3): OrderedDict([('conditions', 'head')])
20.5032 	EXP 	stimulus_text: autoDraw = False
20.5032 	EXP 	stimulus_text: height = 0.15
20.5032 	EXP 	stimulus_text: height = 0.15
20.5032 	EXP 	stimulus_text: height = 0.15
20.5032 	EXP 	stimulus_text: text = 'head'
20.5032 	EXP 	stimulus_text: autoDraw = True
20.5699 	DATA 	Mouse:  Left button up, pos=(773,632)
20.6365 	DATA 	Mouse: Left button down, pos=(773,632)
20.6383 	EXP 	New trial (rep=4, index=4): OrderedDict([('conditions', 'feet')])
20.6532 	EXP 	stimulus_text: autoDraw = False
20.6532 	EXP 	stimulus_text: height = 0.15
20.6532 	EXP 	stimulus_text: height = 0.15
20.6532 	EXP 	stimulus_text: height = 0.15
20.6532 	EXP 	stimulus_text: text = 'feet'
20.6532 	EXP 	stimulus_text: autoDraw = True
20.7198 	DATA 	Mouse:  Left button up, pos=(773,632)
20.7864 	DATA 	Mouse: Left button down, pos=(773,632)
20.7881 	EXP 	New trial (rep=5, index=0): OrderedDict([('conditions', 'feet')])
20.8031 	EXP 	stimulus_text: autoDraw = False
20.8031 	EXP 	stimulus_text: text = 'feet'
20.8031 	EXP 	stimulus_text: autoDraw = True
20.8698 	DATA 	Mouse:  Left button up, pos=(773,632)
20.9365 	DATA 	Mouse: Left button down, pos=(773,632)
20.9382 	EXP 	New trial (rep=5, index=1): OrderedDict([('conditions', 'left hand')])
20.9529 	EXP 	stimulus_text: autoDraw = False
20.9529 	EXP 	stimulus_text: height = 0.15
20.9529 	EXP 	stimulus_text: height = 0.15
20.9529 	EXP 	stimulus_text: height = 0.15
20.9529 	EXP 	stimulus_text: text = 'left hand'
20.9529 	EXP 	stimulus_text: autoDraw = True
21.0203 	DATA 	Mouse:  Left button up, pos=(773,632)
21.0866 	DATA 	Mouse: Left button down, pos=(773,632)
21.0881 	EXP 	New trial (rep=5, index=2): OrderedDict([('conditions', 'eyes')])
21.1031 	EXP 	stimulus_text: autoDraw = False
21.1031 	EXP 	stimulus_text: height = 0.15
21.1031 	EXP 	stimulus_text: height = 0.15
21.1031 	EXP 	stimulus_text: height = 0.15
21.1031 	EXP 	stimulus_text: text = 'eyes'
21.1031 	EXP 	stimulus_text: autoDraw = True
21.1531 	DATA 	Mouse:  Left button up, pos=(773,632)
21.2202 	DATA 	Mouse: Left button down, pos=(773,632)
21.2220 	EXP 	New trial (rep=5, index=3): OrderedDict([('conditions', 'head')])
21.2366 	EXP 	stimulus_text: autoDraw = False
21.2366 	EXP 	stimulus_text: height = 0.15
21.2366 	EXP 	stimulus_text: height = 0.15
21.2366 	EXP 	stimulus_text: height = 0.15
21.2366 	EXP 	stimulus_text: text = 'head'
21.2366 	EXP 	stimulus_text: autoDraw = True
21.3040 	DATA 	Mouse:  Left button up, pos=(773,632)
21.3702 	DATA 	Mouse: Left button down, pos=(773,632)
21.3721 	EXP 	New trial (rep=5, index=4): OrderedDict([('conditions', 'right hand')])
21.3864 	EXP 	stimulus_text: autoDraw = False
21.3864 	EXP 	stimulus_text: height = 0.15
21.3864 	EXP 	stimulus_text: height = 0.15
21.3864 	EXP 	stimulus_text: height = 0.15
21.3864 	EXP 	stimulus_text: text = 'right hand'
21.3864 	EXP 	stimulus_text: autoDraw = True
21.4543 	DATA 	Mouse:  Left button up, pos=(773,632)
21.5367 	DATA 	Mouse: Left button down, pos=(773,632)
21.5384 	EXP 	New trial (rep=6, index=0): OrderedDict([('conditions', 'head')])
21.5525 	EXP 	stimulus_text: autoDraw = False
21.5525 	EXP 	stimulus_text: height = 0.15
21.5525 	EXP 	stimulus_text: height = 0.15
21.5525 	EXP 	stimulus_text: height = 0.15
21.5525 	EXP 	stimulus_text: text = 'head'
21.5525 	EXP 	stimulus_text: autoDraw = True
21.6199 	DATA 	Mouse:  Left button up, pos=(773,632)
21.6866 	DATA 	Mouse: Left button down, pos=(773,632)
21.6884 	EXP 	New trial (rep=6, index=1): OrderedDict([('conditions', 'feet')])
21.7030 	EXP 	stimulus_text: autoDraw = False
21.7030 	EXP 	stimulus_text: height = 0.15
21.7030 	EXP 	stimulus_text: height = 0.15
21.7030 	EXP 	stimulus_text: height = 0.15
21.7030 	EXP 	stimulus_text: text = 'feet'
21.7030 	EXP 	stimulus_text: autoDraw = True
21.7532 	DATA 	Mouse:  Left button up, pos=(773,632)
21.8365 	DATA 	Mouse: Left button down, pos=(773,632)
21.8383 	EXP 	New trial (rep=6, index=2): OrderedDict([('conditions', 'right hand')])
21.8529 	EXP 	stimulus_text: autoDraw = False
21.8529 	EXP 	stimulus_text: height = 0.15
21.8529 	EXP 	stimulus_text: height = 0.15
21.8529 	EXP 	stimulus_text: height = 0.15
21.8529 	EXP 	stimulus_text: text = 'right hand'
21.8529 	EXP 	stimulus_text: autoDraw = True
21.9032 	DATA 	Mouse:  Left button up, pos=(773,632)
21.9869 	DATA 	Mouse: Left button down, pos=(773,632)
21.9884 	EXP 	New trial (rep=6, index=3): OrderedDict([('conditions', 'eyes')])
22.0030 	EXP 	stimulus_text: autoDraw = False
22.0030 	EXP 	stimulus_text: height = 0.15
22.0030 	EXP 	stimulus_text: height = 0.15
22.0030 	EXP 	stimulus_text: height = 0.15
22.0030 	EXP 	stimulus_text: text = 'eyes'
22.0030 	EXP 	stimulus_text: autoDraw = True
22.0367 	DATA 	Mouse:  Left button up, pos=(773,632)
22.1044 	DATA 	Mouse: Left button down, pos=(773,632)
22.1214 	EXP 	New trial (rep=6, index=4): OrderedDict([('conditions', 'left hand')])
22.1366 	EXP 	stimulus_text: autoDraw = False
22.1366 	EXP 	stimulus_text: height = 0.15
22.1366 	EXP 	stimulus_text: height = 0.15
22.1366 	EXP 	stimulus_text: height = 0.15
22.1366 	EXP 	stimulus_text: text = 'left hand'
22.1366 	EXP 	stimulus_text: autoDraw = True
22.1870 	DATA 	Mouse:  Left button up, pos=(773,632)
22.5043 	DATA 	Keypress: escape
22.7620 	EXP 	window1: mouseVisible = True
