0.7269 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
12.9001 	EXP 	stimulus_text: height = 0.05
12.9001 	EXP 	stimulus_text: height = 0.05
12.9001 	EXP 	stimulus_text: height = 0.05
12.9001 	EXP 	stimulus_text: text = 'eyes'
12.9001 	EXP 	stimulus_text: autoDraw = True
12.9674 	DATA 	Mouse:  Left button up, pos=(565,520)
13.0512 	DATA 	Mouse: Left button down, pos=(565,520)
13.0530 	EXP 	New trial (rep=1, index=1): OrderedDict([('conditions', 'left arm')])
13.0667 	EXP 	stimulus_text: autoDraw = False
13.0667 	EXP 	stimulus_text: height = 0.05
13.0667 	EXP 	stimulus_text: height = 0.05
13.0667 	EXP 	stimulus_text: height = 0.05
13.0667 	EXP 	stimulus_text: text = 'left arm'
13.0667 	EXP 	stimulus_text: autoDraw = True
13.1337 	DATA 	Mouse:  Left button up, pos=(565,520)
13.2010 	DATA 	Mouse: Left button down, pos=(565,520)
13.2027 	EXP 	New trial (rep=1, index=2): OrderedDict([('conditions', 'feet')])
13.2166 	EXP 	stimulus_text: autoDraw = False
13.2166 	EXP 	stimulus_text: height = 0.05
13.2166 	EXP 	stimulus_text: height = 0.05
13.2166 	EXP 	stimulus_text: height = 0.05
13.2166 	EXP 	stimulus_text: text = 'feet'
13.2166 	EXP 	stimulus_text: autoDraw = True
13.2835 	DATA 	Mouse:  Left button up, pos=(565,520)
13.3505 	DATA 	Mouse: Left button down, pos=(565,520)
13.3522 	EXP 	New trial (rep=1, index=3): OrderedDict([('conditions', 'right arm')])
13.3665 	EXP 	stimulus_text: autoDraw = False
13.3665 	EXP 	stimulus_text: height = 0.05
13.3665 	EXP 	stimulus_text: height = 0.05
13.3665 	EXP 	stimulus_text: height = 0.05
13.3665 	EXP 	stimulus_text: text = 'right arm'
13.3665 	EXP 	stimulus_text: autoDraw = True
13.4337 	DATA 	Mouse:  Left button up, pos=(565,520)
13.5003 	DATA 	Mouse: Left button down, pos=(565,520)
13.5020 	EXP 	New trial (rep=1, index=4): OrderedDict([('conditions', 'head')])
13.5171 	EXP 	stimulus_text: autoDraw = False
13.5171 	EXP 	stimulus_text: height = 0.05
13.5171 	EXP 	stimulus_text: height = 0.05
13.5171 	EXP 	stimulus_text: height = 0.05
13.5171 	EXP 	stimulus_text: text = 'head'
13.5171 	EXP 	stimulus_text: autoDraw = True
13.6002 	DATA 	Mouse:  Left button up, pos=(565,520)
13.6506 	DATA 	Mouse: Left button down, pos=(565,520)
13.6524 	EXP 	New trial (rep=2, index=0): OrderedDict([('conditions', 'head')])
13.6667 	EXP 	stimulus_text: autoDraw = False
13.6667 	EXP 	stimulus_text: text = 'head'
13.6667 	EXP 	stimulus_text: autoDraw = True
13.7502 	DATA 	Mouse:  Left button up, pos=(565,520)
13.8003 	DATA 	Mouse: Left button down, pos=(565,520)
13.8020 	EXP 	New trial (rep=2, index=1): OrderedDict([('conditions', 'feet')])
13.8171 	EXP 	stimulus_text: autoDraw = False
13.8171 	EXP 	stimulus_text: height = 0.05
13.8171 	EXP 	stimulus_text: height = 0.05
13.8171 	EXP 	stimulus_text: height = 0.05
13.8171 	EXP 	stimulus_text: text = 'feet'
13.8171 	EXP 	stimulus_text: autoDraw = True
13.8833 	DATA 	Mouse:  Left button up, pos=(565,520)
13.9340 	DATA 	Mouse: Left button down, pos=(565,520)
13.9358 	EXP 	New trial (rep=2, index=2): OrderedDict([('conditions', 'left arm')])
13.9497 	EXP 	stimulus_text: autoDraw = False
13.9497 	EXP 	stimulus_text: height = 0.05
13.9497 	EXP 	stimulus_text: height = 0.05
13.9497 	EXP 	stimulus_text: height = 0.05
13.9497 	EXP 	stimulus_text: text = 'left arm'
13.9497 	EXP 	stimulus_text: autoDraw = True
14.0336 	DATA 	Mouse:  Left button up, pos=(565,520)
14.0839 	DATA 	Mouse: Left button down, pos=(565,520)
14.0857 	EXP 	New trial (rep=2, index=3): OrderedDict([('conditions', 'eyes')])
14.1002 	EXP 	stimulus_text: autoDraw = False
14.1002 	EXP 	stimulus_text: height = 0.05
14.1002 	EXP 	stimulus_text: height = 0.05
14.1002 	EXP 	stimulus_text: height = 0.05
14.1002 	EXP 	stimulus_text: text = 'eyes'
14.1002 	EXP 	stimulus_text: autoDraw = True
14.1838 	DATA 	Mouse:  Left button up, pos=(565,520)
14.2170 	DATA 	Mouse: Left button down, pos=(565,520)
14.2189 	EXP 	New trial (rep=2, index=4): OrderedDict([('conditions', 'right arm')])
14.2333 	EXP 	stimulus_text: autoDraw = False
14.2333 	EXP 	stimulus_text: height = 0.05
14.2333 	EXP 	stimulus_text: height = 0.05
14.2333 	EXP 	stimulus_text: height = 0.05
14.2333 	EXP 	stimulus_text: text = 'right arm'
14.2333 	EXP 	stimulus_text: autoDraw = True
14.3173 	DATA 	Mouse:  Left button up, pos=(565,520)
14.3838 	DATA 	Mouse: Left button down, pos=(565,520)
14.3855 	EXP 	New trial (rep=3, index=0): OrderedDict([('conditions', 'feet')])
14.4011 	EXP 	stimulus_text: autoDraw = False
14.4011 	EXP 	stimulus_text: height = 0.05
14.4011 	EXP 	stimulus_text: height = 0.05
14.4011 	EXP 	stimulus_text: height = 0.05
14.4011 	EXP 	stimulus_text: text = 'feet'
14.4011 	EXP 	stimulus_text: autoDraw = True
14.5002 	DATA 	Mouse:  Left button up, pos=(565,520)
14.9712 	DATA 	Keypress: escape
15.6519 	EXP 	window1: mouseVisible = True
