0.7119 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
27.0002 	EXP 	stimulus_text: height = 0.15
27.0002 	EXP 	stimulus_text: text = 'left hand'
27.0002 	EXP 	stimulus_text: autoDraw = True
27.0672 	DATA 	Mouse:  Left button up, pos=(900,154)
33.9840 	EXP 	New trial (rep=1, index=0): OrderedDict([('conditions', 'eyes')])
34.0000 	EXP 	stimulus_text: autoDraw = False
34.0000 	EXP 	stimulus_text: autoDraw = False
34.0000 	EXP 	stimulus_text: height = 0.15
34.0000 	EXP 	stimulus_text: height = 0.15
34.0000 	EXP 	stimulus_text: height = 0.15
34.0000 	EXP 	stimulus_text: text = 'eyes'
34.0000 	EXP 	stimulus_text: autoDraw = True
39.2853 	DATA 	Keypress: escape
39.6640 	EXP 	window1: mouseVisible = True
